deal_id,company,sector,region,stage,owner,created_date,deal_size_usd_mm,days_in_stage,screening_score
D089,Target 089,FinTech,North America,Rejected,Sofia Martinez,2026-05-17,131.3,10,70
D090,Target 090,Healthcare,North America,Rejected,Noah Williams,2026-03-26,80.8,12,74
D091,Target 091,Software,North America,Rejected,Liam Patel,2026-01-09,68.9,13,70
D092,Target 092,Industrials,North America,Diligence,Liam Patel,2025-04-09,105.3,28,66
D093,Target 093,Software,Europe,Approved,Sofia Martinez,2026-03-13,123.8,34,55
D094,Target 094,Business Services,Europe,Rejected,Sofia Martinez,2026-04-02,45.3,11,78
D095,Target 095,FinTech,Europe,Approved,Maya Chen,2025-02-03,41.6,21,90
D096,Target 096,Software,Europe,Rejected,Liam Patel,2025-11-02,63.6,28,85
D097,Target 097,Consumer,Europe,Rejected,Maya Chen,2026-02-05,80.7,48,66
D098,Target 098,Software,Europe,Approved,Sofia Martinez,2025-11-02,51.7,8,89
D099,Target 099,Industrials,North America,Approved,Noah Williams,2026-03-23,71.0,56,68
D100,Target 100,Consumer,North America,Diligence,Noah Williams,2025-04-16,76.8,15,71
D101,Target 101,Software,North America,Approved,Sofia Martinez,2026-06-30,30.4,45,50
D102,Target 102,Industrials,Europe,Screening,Sofia Martinez,2025-04-21,91.1,13,77
D103,Target 103,FinTech,Europe,Rejected,Sofia Martinez,2025-07-14,61.5,42,55
D104,Target 104,FinTech,Europe,IC Review,Sofia Martinez,2025-01-05,75.7,12,56
D105,Target 105,Consumer,Europe,Screening,Noah Williams,2026-05-28,23.0,18,67
D106,Target 106,FinTech,North America,Approved,Sofia Martinez,2025-03-14,41.7,25,61
D107,Target 107,Industrials,North America,Approved,Sofia Martinez,2025-02-25,57.4,22,63
D108,Target 108,Business Services,Europe,Diligence,Noah Williams,2025-10-30,78.3,22,44
D109,Target 109,Industrials,North America,IC Review,Noah Williams,2025-03-19,126.5,22,82
D110,Target 110,FinTech,North America,Screening,Sofia Martinez,2025-12-29,38.7,14,72
D111,Target 111,Consumer,Europe,Approved,Maya Chen,2025-01-15,68.9,19,86
D112,Target 112,Healthcare,North America,Approved,Liam Patel,2025-03-27,66.7,16,67
D113,Target 113,Healthcare,North America,Screening,Noah Williams,2025-07-31,22.7,18,98
D114,Target 114,Consumer,North America,Rejected,Noah Williams,2026-04-15,45.6,51,78
D115,Target 115,Industrials,North America,Rejected,Noah Williams,2026-07-08,40.7,11,49
D116,Target 116,Industrials,North America,Diligence,Maya Chen,2026-01-12,92.2,21,69
D117,Target 117,Software,North America,Rejected,Liam Patel,2026-05-18,103.0,25,81
D118,Target 118,FinTech,North America,Approved,Liam Patel,2025-04-28,64.4,17,65
D119,Target 119,Software,Europe,IC Review,Sofia Martinez,2026-03-17,68.6,57,66
D120,Target 120,Industrials,Europe,Approved,Noah Williams,2026-02-14,75.4,16,50
D121,Target 121,Healthcare,Europe,Approved,Noah Williams,2025-04-23,138.5,29,72
D122,Target 122,Business Services,Europe,Rejected,Noah Williams,2026-05-26,40.7,83,52
D123,Target 123,FinTech,Europe,Diligence,Maya Chen,2025-01-10,148.2,62,65
D124,Target 124,FinTech,Europe,Diligence,Sofia Martinez,2025-11-15,67.9,43,81
D125,Target 125,Business Services,North America,Rejected,Liam Patel,2026-07-04,27.2,14,76
D126,Target 126,Healthcare,North America,Diligence,Liam Patel,2025-05-17,46.0,19,57
D127,Target 127,Software,Europe,IC Review,Noah Williams,2025-11-16,102.1,29,64
D128,Target 128,Industrials,Europe,Screening,Noah Williams,2025-10-18,78.6,18,66
D129,Target 129,Consumer,North America,Rejected,Noah Williams,2026-02-14,53.3,34,65
D130,Target 130,Industrials,Europe,Screening,Sofia Martinez,2026-06-10,142.3,18,81
D131,Target 131,Industrials,Europe,Rejected,Liam Patel,2025-05-23,26.1,41,63
D132,Target 132,Industrials,Europe,Diligence,Noah Williams,2025-04-14,61.9,15,75
D133,Target 133,Software,Europe,Diligence,Liam Patel,2026-01-26,91.1,43,71
D134,Target 134,Industrials,North America,Rejected,Noah Williams,2026-04-23,97.0,28,74
D135,Target 135,Consumer,North America,Approved,Maya Chen,2025-04-07,93.4,36,79
D136,Target 136,FinTech,Europe,IC Review,Liam Patel,2026-06-01,40.1,21,81
D137,Target 137,Software,Europe,Diligence,Liam Patel,2025-06-08,42.5,15,98
D138,Target 138,Industrials,Europe,Diligence,Sofia Martinez,2025-06-06,65.5,37,60
D139,Target 139,Industrials,North America,Diligence,Noah Williams,2025-04-05,109.8,62,86
D140,Target 140,Software,North America,Approved,Sofia Martinez,2025-09-11,70.9,28,82
D141,Target 141,Healthcare,North America,Approved,Maya Chen,2025-12-12,65.4,79,73
D142,Target 142,Healthcare,North America,Diligence,Liam Patel,2025-11-20,83.6,45,80
D143,Target 143,Healthcare,North America,Screening,Liam Patel,2025-02-20,65.5,18,60
D144,Target 144,Industrials,Europe,Approved,Liam Patel,2026-02-09,57.0,20,66
D145,Target 145,Consumer,North America,Approved,Liam Patel,2025-01-01,61.9,43,64
D146,Target 146,Business Services,North America,Screening,Sofia Martinez,2025-05-17,56.8,18,64
D147,Target 147,Consumer,Europe,Approved,Noah Williams,2025-09-01,87.4,26,87
D148,Target 148,FinTech,North America,Diligence,Maya Chen,2026-06-13,41.7,20,72
D149,Target 149,FinTech,North America,Rejected,Maya Chen,2025-07-01,60.2,11,69
D150,Target 150,Business Services,Europe,Approved,Maya Chen,2025-03-04,82.5,15,63
D151,Target 151,Consumer,North America,Approved,Noah Williams,2025-02-18,53.5,13,72
D152,Target 152,Industrials,Europe,Screening,Noah Williams,2025-05-21,64.8,11,49
D153,Target 153,FinTech,North America,Screening,Sofia Martinez,2025-11-14,46.6,18,98
D154,Target 154,Consumer,Europe,Rejected,Noah Williams,2025-01-18,36.7,42,59
D155,Target 155,Industrials,Europe,Rejected,Sofia Martinez,2026-05-17,23.7,12,67
D156,Target 156,Healthcare,North America,Rejected,Sofia Martinez,2025-02-24,51.1,23,78
D157,Target 157,Industrials,Europe,Diligence,Noah Williams,2025-06-11,51.3,24,83
D158,Target 158,Business Services,Europe,Screening,Liam Patel,2025-11-09,106.9,17,63
D159,Target 159,Industrials,Europe,Diligence,Sofia Martinez,2025-11-24,63.1,23,57
D160,Target 160,Business Services,Europe,Rejected,Maya Chen,2026-02-22,83.2,46,77
D161,Target 161,Consumer,North America,Rejected,Liam Patel,2026-05-15,37.1,34,51
D162,Target 162,FinTech,North America,IC Review,Noah Williams,2026-05-29,133.5,28,80
D163,Target 163,FinTech,Europe,Approved,Maya Chen,2026-01-21,52.0,24,86
D164,Target 164,Software,Europe,Diligence,Liam Patel,2025-08-14,44.6,21,77
D165,Target 165,Business Services,Europe,Approved,Noah Williams,2025-12-30,93.4,25,67
D166,Target 166,Consumer,Europe,Approved,Sofia Martinez,2026-06-10,58.8,39,84
D167,Target 167,Business Services,Europe,Approved,Sofia Martinez,2025-07-20,65.2,23,56
D168,Target 168,Business Services,North America,Diligence,Sofia Martinez,2025-03-16,63.1,27,87
D169,Target 169,Software,North America,Approved,Liam Patel,2025-02-10,72.5,8,66
D170,Target 170,Healthcare,Europe,Approved,Sofia Martinez,2025-12-08,76.5,29,83
D171,Target 171,Software,Europe,Rejected,Liam Patel,2026-03-31,102.9,29,66
D172,Target 172,Business Services,North America,Screening,Liam Patel,2025-05-10,116.1,18,63
D173,Target 173,Business Services,North America,Screening,Sofia Martinez,2025-10-19,54.5,18,80
D174,Target 174,FinTech,Europe,Rejected,Maya Chen,2025-11-06,118.6,64,68
D175,Target 175,Software,Europe,Approved,Noah Williams,2025-03-10,27.4,24,75
D176,Target 176,Industrials,North America,Diligence,Sofia Martinez,2026-05-22,53.2,15,83
D177,Target 177,Industrials,North America,Screening,Noah Williams,2026-05-16,34.1,11,81
D178,Target 178,Industrials,North America,Screening,Liam Patel,2025-01-25,124.0,18,65
D179,Target 179,Healthcare,Europe,Rejected,Maya Chen,2025-06-21,52.5,17,74
D180,Target 180,Healthcare,Europe,Screening,Liam Patel,2025-01-12,144.8,18,73
